"","genes","logFC","logCPM","F","PValue","FDR"
"17297","2810055G20Rik",-0.3051431,1.35215,0.9616844,0.3498286,0.8343797
"20756","Crebzf",0.1515673,5.666314,0.9611975,0.3499452,0.8344953
"33917","Fzd4",0.3449873,3.858908,0.9604831,0.3501165,0.8347168
"19753","Champ1",0.2259545,2.765502,0.960241,0.3501745,0.8347168
"33392","Car14",-0.3508209,4.205255,0.9596858,0.3503077,0.8348717
"14379","Mapk12",0.2036378,2.010275,0.9589889,0.3504751,0.8351078
"34459","Myd88",0.1736757,3.862636,0.9583808,0.3506211,0.8352932
"11308","Ncoa1",0.219524,4.342719,0.9580243,0.3507068,0.8353347
"30459","Sptbn1",0.1730078,6.324243,0.9573066,0.3508794,0.8354814
"34686","Sh2b1",0.1655573,5.718154,0.9572005,0.3509049,0.8354814
"19759","Ufm1",-0.257347,6.007079,0.9566218,0.3510442,0.8356505
"26870","Hint3",-0.2572643,4.685111,0.9551158,0.351407,0.8362857
"5396","Hyi",-0.2654547,5.440083,0.954947,0.3514477,0.8362857
"30439","Rhobtb1",-0.2292995,6.044944,0.9531694,0.3518768,0.837015
"8800","Oit3",0.1556635,4.261149,0.9528988,0.3519422,0.837015
"34304","Ctsl",0.2291683,9.503162,0.9525834,0.3520184,0.837015
"29310","Faf1",0.1633947,5.234506,0.9524687,0.3520461,0.837015
"34698","Mocos",-0.2338829,5.575741,0.9521976,0.3521117,0.837015
"28953","Fbxo18",0.1263831,4.539534,0.9519788,0.3521646,0.837015
"34490","Fam104a",-0.3352616,4.282973,0.9514157,0.3523008,0.8371762
"32182","Gaa",0.3683192,6.548917,0.9503636,0.3525556,0.8372166
"12873","C1d",-0.3940486,5.788347,0.9500702,0.3526267,0.8372166
"79","Dnhd1",-0.3173696,1.938013,0.9500525,0.352631,0.8372166
"24254","Asap2",0.2501736,3.26369,0.9496395,0.3527311,0.8372166
"5444","Cyp4f13",-0.2095456,5.985343,0.9491731,0.3528442,0.8372166
"903","Prpf40b",-0.1744174,4.259195,0.9490924,0.3528638,0.8372166
"18490","AU022252",0.1421433,6.591411,0.9490113,0.3528835,0.8372166
"14062","Kdm5b",0.1863722,4.408053,0.9489419,0.3529003,0.8372166
"33784","Xpot",0.1385208,6.606801,0.9479626,0.353138,0.8372166
"24383","Asns",0.6869335,3.190566,0.9479576,0.3531393,0.8372166
"25822","BC029722",0.1566673,3.33363,0.9476232,0.3532205,0.8372166
"22768","Nckipsd",-0.2872271,2.206048,0.9475631,0.3532351,0.8372166
"13089","Etohd2",-0.2540278,1.586428,0.9474101,0.3532723,0.8372166
"21398","43710",0.184465,6.493336,0.9472129,0.3533202,0.8372166
"9525","Urb2",0.2620056,2.992759,0.946468,0.3535013,0.8372166
"3714","Cyp20a1",-0.180704,3.664922,0.946448,0.3535062,0.8372166
"24324","Fus",0.2594977,6.660206,0.9463942,0.3535193,0.8372166
"20908","9330151L19Rik",-0.2556558,1.386134,0.9462712,0.3535492,0.8372166
"7821","Phldb3",-0.2345009,3.188225,0.9452499,0.3537979,0.8376433
"29157","Ccdc23",-0.3686436,3.347265,0.9442995,0.3540294,0.8376522
"22722","Rcc1",-0.1872548,2.787151,0.9439741,0.3541088,0.8376522
"13430","Daxx",-0.1383694,4.090727,0.9438711,0.3541339,0.8376522
"18722","Sh3bgrl3",0.2900578,2.231865,0.9437527,0.3541628,0.8376522
"33476","Atp6v0e2",0.4875344,0.4717893,0.9436193,0.3541953,0.8376522
"24120","Zfp874a",-0.2534173,4.588361,0.9435498,0.3542123,0.8376522
"22592","Rdh11",-0.2325576,3.761191,0.9430281,0.3543396,0.8376565
"28184","Tmem192",-0.2189456,3.687611,0.9425149,0.3544649,0.8376565
"16596","Esrrg",-0.4972759,2.213742,0.9421768,0.3545475,0.8376565
"23677","Dync1li2",0.1324583,4.928449,0.9419249,0.3546091,0.8376565
"10998","C730034F03Rik",0.273642,1.113398,0.9419238,0.3546094,0.8376565
"27710","Swt1",0.2127074,4.014459,0.9417014,0.3546637,0.8376565
"32313","Proser1",-0.2361775,3.218785,0.9415806,0.3546933,0.8376565
"1278","Limk1",-0.2934129,1.441118,0.9408325,0.3548762,0.8377337
"12960","Abhd17c",-0.1268634,5.84502,0.9403454,0.3549955,0.8377337
"32731","Vav1",0.3685926,2.231052,0.9401643,0.3550398,0.8377337
"25853","Nfkbil1",0.2489305,1.890762,0.940043,0.3550695,0.8377337
"4747","Pdcd11",0.1887025,4.400321,0.9398564,0.3551152,0.8377337
"18219","Gm1966",-0.3513124,1.206253,0.939595,0.3551792,0.8377337
"11129","Micu2",-0.1366476,5.214564,0.9393048,0.3552503,0.8377337
"22322","Mif4gd",-0.1414631,5.36046,0.9389524,0.3553367,0.8377337
"25238","Eci2",0.1541946,7.602102,0.9388678,0.3553574,0.8377337
"5830","Smc4",0.2963248,3.60547,0.9386515,0.3554105,0.8377337
"24011","Rsad1",0.1806917,4.467686,0.938189,0.3555239,0.8377947
"30873","Dpf3",0.3579425,0.2952142,0.9377614,0.3556289,0.8377947
"10464","Sema6d",0.1745096,3.819097,0.937552,0.3556803,0.8377947
"7624","Cebpg",-0.2645206,5.963078,0.9368997,0.3558405,0.8377947
"18612","Cyth3",0.2666147,2.661373,0.9367119,0.3558866,0.8377947
"27997","Vldlr",0.6243329,1.4845,0.9366627,0.3558987,0.8377947
"33471","BC018507",0.1654027,4.697947,0.936594,0.3559156,0.8377947
"30012","Ccnl1",0.1584181,5.757863,0.9356532,0.3561469,0.8379567
"32215","Igf1",0.2143155,9.344358,0.9354303,0.3562017,0.8379567
"27075","Wdr12",0.1786367,3.8992,0.9352479,0.3562466,0.8379567
"13382","Tro",-0.3657693,1.157132,0.9352006,0.3562583,0.8379567
"10277","Atg4d",-0.1625928,5.061793,0.934506,0.3564293,0.8381823
"18678","Tmem170",0.1732204,2.683891,0.9341894,0.3565073,0.8381823
"12921","Dedd2",0.1843065,4.658378,0.9338635,0.3565876,0.8381823
"42","Stk4",0.1825477,4.199008,0.9336989,0.3566281,0.8381823
"533","Uqcr10",0.2217841,6.950114,0.9333236,0.3567207,0.8382388
"4482","Zfp609",0.2798998,4.692814,0.9327251,0.3568683,0.8384034
"14367","Zbtb25",-0.3703198,1.363419,0.9317293,0.3571141,0.8384034
"34742","Ptafr",0.3850675,0.313985,0.9316985,0.3571217,0.8384034
"30593","Hnrnpf",0.1200313,6.417668,0.931681,0.3571261,0.8384034
"31425","Fam57a",-0.2625687,1.835807,0.931133,0.3572615,0.8384034
"6344","Osmr",0.300847,2.105284,0.9311031,0.3572688,0.8384034
"862","Mettl10",-0.3070622,2.032201,0.9310974,0.3572703,0.8384034
"1642","Strip1",-0.1867451,3.658349,0.9305936,0.3573948,0.8385348
"11857","Phkg2",-0.1517663,3.566216,0.9302881,0.3574704,0.8385513
"1682","Nup133",-0.2264926,2.921522,0.9294997,0.3576655,0.8387812
"16905","Gm10116",0.259298,3.427283,0.9292248,0.3577335,0.8387812
"21071","Spns2",-0.209097,4.879158,0.9290616,0.357774,0.8387812
"34890","Abi1",0.1632561,5.417921,0.9287218,0.3578581,0.8388178
"33785","Noa1",-0.1848704,3.150228,0.928397,0.3579386,0.8388458
"18790","Mga",-0.1514937,4.807487,0.9278371,0.3580774,0.8390105
"32449","Zfp53",-0.259163,2.128836,0.9275222,0.3581556,0.8390329
"24110","Sdr42e1",-0.2076338,7.043507,0.9268422,0.3583243,0.8392676
"14976","Dfna5",-0.389092,3.689905,0.9255619,0.3586424,0.8396963
"10594","Zfp397",0.1499622,4.478238,0.925553,0.3586446,0.8396963
"27918","Usp15",0.1292361,5.18556,0.9252305,0.3587248,0.8397233
"19847","Ipo8",0.188595,5.581842,0.9243168,0.3589521,0.8400948
"4770","Pdhb",-0.1226389,6.658748,0.9228619,0.3593145,0.8406471
"3636","Zmym6",0.2040908,2.936841,0.9226654,0.3593635,0.8406471
"20380","Dgat2",-0.251023,8.627038,0.9224014,0.3594293,0.8406471
"5301","Klhl20",-0.1842165,3.093049,0.9222671,0.3594628,0.8406471
"10698","Rec8",0.3191111,0.6992126,0.9214884,0.3596572,0.840821
"3937","Cd300e",-0.2992331,1.445477,0.9211605,0.359739,0.840821
"5318","Usp47",0.19832,6.554854,0.9211434,0.3597433,0.840821
"23541","Azi2",-0.1963997,6.133604,0.9181914,0.3604817,0.8421419
"7027","Ergic3",-0.1291503,5.927816,0.9177609,0.3605896,0.8421419
"17417","Zfp7",-0.3718672,1.124256,0.9175145,0.3606513,0.8421419
"28645","Urah",-0.1750602,6.359943,0.9174472,0.3606682,0.8421419
"29564","Tasp1",-0.2599646,3.315719,0.9170636,0.3607644,0.8421419
"13531","Ssna1",-0.2331008,4.078392,0.9166262,0.3608741,0.8421419
"12658","Smarce1",0.1221104,5.037646,0.9165066,0.3609041,0.8421419
"14399","Sco1",-0.1690961,3.650326,0.9164441,0.3609198,0.8421419
"6985","Stat3",-0.219577,6.711276,0.9164123,0.3609278,0.8421419
"16135","Pdk2",0.2612491,6.332412,0.9158484,0.3610694,0.8422251
"7207","Rfxap",-0.1577008,3.462596,0.9152143,0.3612287,0.8422251
"30374","Adpgk",0.1402682,4.070537,0.9148155,0.3613289,0.8422251
"22272","Mzt2",-0.1480277,3.991671,0.914554,0.3613946,0.8422251
"27107","6330416G13Rik",0.2475725,3.487684,0.9142508,0.3614709,0.8422251
"11795","Rhoq",0.1834363,3.686151,0.9142434,0.3614728,0.8422251
"10006","S100a11",0.3826918,2.533494,0.9139887,0.3615369,0.8422251
"18534","Prrc2c",0.225137,5.787754,0.9139314,0.3615513,0.8422251
"25308","Klhl2",-0.209419,5.39537,0.9136006,0.3616345,0.8422251
"15789","Chmp5",-0.1999188,5.501275,0.9135326,0.3616517,0.8422251
"21382","Agt",0.2589258,8.884989,0.9130728,0.3617674,0.8422946
"5245","Galm",-0.2286416,6.112926,0.9124872,0.361915,0.8422946
"31673","Cables2",-0.1872809,4.670837,0.9121859,0.3619909,0.8422946
"7497","Zdhhc14",-0.2331477,1.881368,0.9113016,0.3622139,0.8422946
"15185","Prkcd",0.1791444,3.54814,0.9109941,0.3622915,0.8422946
"13417","Dok1",0.3719499,1.459778,0.9106953,0.362367,0.8422946
"4648","Elf2",0.1359702,4.71863,0.9106424,0.3623803,0.8422946
"34252","Tomm70a",0.1541432,7.095891,0.9102358,0.362483,0.8422946
"33973","Inppl1",0.1503849,5.010567,0.9101866,0.3624955,0.8422946
"25350","Dhcr24",-0.3125631,8.316635,0.9100734,0.3625241,0.8422946
"34039","Mbtd1",0.149004,4.634588,0.9100097,0.3625402,0.8422946
"16042","Xkr8",-0.2781229,2.440392,0.9099473,0.3625559,0.8422946
"11654","Siah2",0.1655689,4.170909,0.9097015,0.3626181,0.8422946
"3073","Nol12",-0.1955966,3.604649,0.9095846,0.3626476,0.8422946
"23187","Ap1g1",0.2131808,5.629949,0.9093225,0.3627139,0.8422946
"9574","Mrps15",-0.1167802,4.602002,0.9086358,0.3628876,0.842538
"8018","Ddx55",-0.1791526,2.909044,0.9080534,0.363035,0.8426004
"16194","Triobp",-0.2211577,4.128472,0.9079622,0.3630581,0.8426004
"22716","Usp9x",0.3065975,6.153784,0.907532,0.363167,0.8426004
"8273","Fggy",-0.1772277,6.158273,0.9069032,0.3633264,0.8426004
"33900","Nhp2",0.2416071,4.779007,0.9065991,0.3634035,0.8426004
"25469","Spsb4",-0.3180621,0.9004745,0.9064535,0.3634404,0.8426004
"34211","Hnrnpl",0.1325459,6.93239,0.9063457,0.3634678,0.8426004
"8910","Cyp2c54",-0.6544806,8.089819,0.905877,0.3635867,0.8426004
"30501","Pds5b",-0.1368247,4.1676,0.9058571,0.3635917,0.8426004
"19595","Mta2",0.1266754,5.631672,0.9055445,0.3636711,0.8426004
"21857","Sftpa1",0.3558596,1.392701,0.9050812,0.3637887,0.8426004
"20493","Phf6",-0.1556091,3.193856,0.9050784,0.3637894,0.8426004
"20704","43709",0.3730139,0.6988796,0.9049888,0.3638122,0.8426004
"15760","Zfp322a",-0.2397738,3.654907,0.9047285,0.3638783,0.8426004
"7588","Tmem245",0.1580092,5.888331,0.9026808,0.3643992,0.8436468
"31022","Qpctl",-0.1860112,3.457502,0.9018128,0.3646203,0.8438235
